latitude	longitude	name	parsed
41.6820897	-69.95976639999999	Chatham	Chatham, MA, USA
41.7353062	-70.1939429	Dennis	Dennis, MA, USA
42.2770346	-72.4008884	Belchertown	Belchertown, MA, USA
41.6130323	-70.9704787	Dartmouth	Dartmouth, MA, USA
42.3812039	-71.63701209999999	Berlin	Berlin, MA, USA
42.4398101	-72.6348118	Whately	Whately, MA, USA
42.3625953	-71.3614484	Wayland	Wayland, MA, USA
42.85839250000001	-70.93003759999999	Amesbury	Amesbury, MA, USA
42.6000863	-72.3981416	Erving	Erving, MA, USA
41.772778	-71.027222	Freetown	Freetown, MA, USA
42.3167581	-72.12591139999999	New Braintree	New Braintree, MA, USA
42.6710048	-72.5483277	Bernardston	Bernardston, MA, USA
41.5532208	-70.60858859999999	Falmouth	Falmouth, MA, USA
42.3709761	-72.5981843	Hatfield	Hatfield, MA, USA
42.6691846	-71.4180622	Tyngsborough, Dunstable	Tyngsborough, USA
42.2809285	-71.23775479999999	Needham	Needham, MA, USA
41.7549658	-70.8452677	Rochester	Rochester, MA, USA
42.2809285	-71.23775479999999	East Needham	Needham, MA, USA
42.15502499999999	-70.953302	South Weymouth	South Weymouth, Weymouth, MA 02190, USA
42.116667	-70.816667	South Scituate, Hanover	Hanover, MA, USA
42.66592319999999	-71.5884363	Pepperell	Pepperell, MA, USA
42.5750883	-71.998133	South Gardner	Gardner, MA, USA
42.4519581	-72.5011335	Leverett	Leverett, MA, USA
42.34635	-71.162676	Brighton Corner	Brighton, Boston, MA, USA
42.421944	-72.227500	Dana	Dana, MA
42.721944	-72.941389	Monroe	Monroe, MA, USA
42.1584103	-72.3286869	Palmer	Palmer, MA, USA
42.1487043	-72.6078672	Chicopee	Chicopee, MA, USA
42.4370374	-71.5056199	Stow	Stow, MA, USA
42.51954	-70.8967155	Massachusetts, Salem	Salem, MA, USA
42.3868145	-71.5683033	Feltonville	Feltonville Road, Hudson, MA 01749, USA
39.2834233	-76.6840263	Baltimore, MD	Massachusetts Avenue, Baltimore, MD 21229, USA
41.647872	-70.4819674	Marshpee	Mashpee, MA, USA
41.3922428	-70.6382857	Deep Bottom, Tisbury	Deep Bottom, West Tisbury, MA 02568, USA
41.3744317	-70.47294339999999	Chappequiddic	Chappaquiddick Island, Edgartown, MA 02539, USA
42.2418172	-70.889759	South Hingham	Hingham, MA, USA
42.7051144	-70.90712359999999	Essex County	Essex County, MA, USA
41.6698985	-70.1171493	West Harwich, South Dennis	West Harwich, Harwich, MA 02671, USA
42.13565	-71.970074	Charlton	Charlton, MA, USA
42.3497948	-71.2250533	West Newton	West Newton, Newton, MA, USA
42.335505	-72.6719853	Florence	Florence, Northampton, MA, USA
42.3522866	-71.0504229	Suffolk County	Suffolk County, MA, USA
42.195929	-70.7258633	South Scituate	Scituate, MA, USA
42.391754	-72.839817	Chesterfield, Worthington, Huntington	Chesterfield, MA
42.105653	-71.552286	Mendon, Uxbridge, Blackstone	Mendon, MA
42.072319	-71.71340169999999	East Douglas	East Douglas, Douglas, MA, USA
42.4381417	-73.0459339	Peru	Peru, MA, USA
42.5667512	-73.0287112	Savoy	Savoy, MA, USA
42.1792563	-73.21205259999999	Monterey	Monterey, MA, USA
41.8470056	-71.2393933	North Rehobath	Rehoboth, MA, USA
41.748162	-71.1895617	Swansea	Swansea, MA, USA
42.2689838	-71.5239529	Cordaville	Cordaville, Southborough, MA, USA
42.5000882	-72.4342527	Lock's Village	Locks Village, Shutesbury, MA 01072, USA
41.6487214	-70.3480787	Centreville	Centerville, Barnstable, MA 02632, USA
41.8929942	-70.9107708	Middleboro	Middleborough, MA, USA
42.0695391	-72.61481169999999	Agawam	Agawam, MA, USA
42.233522	-72.879602	Huntington, Worthington, Chesterfield	Huntington, MA
41.6524911	-70.2881124	Hyannis	Hyannis, Barnstable, MA, USA
41.59233709999999	-70.9784562	New Bedford, Dartmouth	Dartmouth, MA, USA
41.8459347	-71.08282220000001	Berkley	Berkley, MA, USA
42.6112018	-71.5745152	Nantucket, South Groton	Groton, MA, USA
42.1806463	-72.9273224	North Blandford	Blandford, MA, USA
41.8470056	-71.2393933	Rehobath	Rehoboth, MA, USA
41.3922428	-70.6382857	Deep Bottom	Deep Bottom, West Tisbury, MA 02568, USA
42.1070464	-70.75504029999999	Standish	Standish, Marshfield, MA 02050, USA
42.51954	-70.8967155	[Salem]	Salem, MA, USA
42.5445588	-72.6056435	Deerfield	Deerfield, MA, USA
42.288978	-72.838429	Norwich	Norwich, Huntington, MA
41.3431688	-70.74475009999999	Chilmark	Chilmark, MA, USA
42.36592	-73.116214	Washington	Washington, MA, USA
42.0543449	-71.739379	Douglas	Douglas, MA, USA
42.605083	-72.9132446	Hawley	Hawley, MA, USA
42.675924	-70.603833	Sandy Bay, town of Gloucester	Sandy Bay, Rockport, MA, USA
42.359167	-72.296389	Greenwich	Greenwich, Massachusetts, USA
42.4773097	-72.6078667	South Deerfield	South Deerfield, Deerfield, MA, USA
42.67508979999999	-71.4828433	Dunstable	Dunstable, MA, USA
41.975	-72.549444	Enfield	Enfield, CT, USA
42.7595355	-70.94751029999999	Byfield	Byfield, Newbury, MA 01922, USA
42.3917541	-72.8398172	Chesterfield	Chesterfield, MA, USA
42.6731396	-72.6967587	Colrain	Colrain, MA, USA
42.5633282	-70.8899998	Upper Beverly	Northshore Academy Upper School, 70 Balch Street, Beverly, MA 01915, USA
42.1600936	-72.47591899999999	Ludlow	Ludlow, MA, USA
42.7262016	-71.1908924	Methuen	Methuen, MA, USA
42.59509389999999	-71.0161643	Middleton	Middleton, MA, USA
42.1712058	-71.803682	West Millbury	West Millbury, Millbury, MA 01527, USA
42.8104135	-70.8892886	Newburyport, Newbury	Newburyport, MA, USA
41.95589529999999	-70.8148435	Plympton	Plympton, MA, USA
42.7167483	-70.8787277	Rowley	Rowley, MA, USA
42.6775856	-72.18786039999999	Royalston	Royalston, MA, USA
42.5898074	-72.6884244	Shelburne	Shelburne, MA, USA
42.2292572	-72.7300929	Southampton	Southampton, MA, USA
42.4663727	-72.5795115	North Sunderland	Sunderland, MA, USA
42.2598457	-72.2398566	Ware	Ware, MA, USA
42.604261	-70.8911612	Wenham	Wenham, MA, USA
42.1237206	-72.431586	North Wilbraham	Wilbraham, MA, USA
42.7120196	-73.20368979999999	Williamstown	Williamstown, MA, USA
41.59233709999999	-70.9784562	Dartmouth, Westport	Dartmouth, MA, USA
42.18758260000001	-71.30645969999999	Medfield	Medfield, MA, USA
42.3875968	-71.0994968	Somerville	Somerville, MA, USA
42.8525821	-70.94279139999999	Amesbury, Salisbury	Amesbury, USA
42.30163049999999	-71.067605	Dorchester, Quincy	Dorchester, Boston, MA, USA
42.1306522	-71.5411747	Milford, Hopedale	Hopedale, Hopedale, MA, USA
42.1048228	-70.9453218	East Abington	Abington, MA, USA
42.0009318	-71.3322994	Attleboro, South Wrentham	South Street, Massachusetts, USA
41.7614511	-70.71973419999999	Wareham	Wareham, MA, USA
41.686111	-70.076389	Harwich, Dennis	Harwich, MA
42.3319904	-73.0829366	Becket	Becket, MA, USA
42.3973092	-72.9356536	Worthington	Worthington, MA, USA
42.2792551	-72.978712	Chester Village	Chester, MA, USA
42.3782065	-71.0602131	Charlestown, Somerville	Charlestown, Boston, MA, USA
42.70091499999999	-73.1087148	North Adams	North Adams, MA, USA
42.1070383	-72.6203675	West Springfield	West Springfield, MA, USA
42.8525821	-70.94279139999999	Salisbury, Amesbury	Amesbury, USA
42.266757	-72.66897999999999	East Hampton	Easthampton, MA, USA
42.24593309999999	-70.9467133	North Weymouth	North Weymouth, Weymouth, MA 02191, USA
42.6969668	-71.1626756	Lawrence, Methuen	Lawrence, MA, USA
42.3782065	-71.0602131	Boston, Charlestown	Charlestown, Boston, MA, USA
42.0348788	-71.3878512	Sheldonville	Sheldonville, Wrentham, MA 02093, USA
42.2695216	-71.61612939999999	Westborough	Westborough, MA, USA
42.335505	-72.6719853	Florence, Northampton	Florence, Northampton, MA, USA
42.6159285	-70.6619888	West Gloucester	Gloucester, MA, USA
42.2335218	-72.8796017	Huntington	Huntington, MA, USA
42.1945385	-71.8356271	Auburn	Auburn, MA, USA
42.5090217	-73.0457124	Windsor	Windsor, MA, USA
42.3522866	-71.0504229	Suffolk	Suffolk County, MA, USA
39.0014523	-95.669321	Kansas	Southeast Massachusetts Avenue, Topeka, KS 66605, USA
41.6616323	-70.81507420000001	Mattapoisett	Mattapoisett, MA, USA
42.613692	-70.71991299999999	New Gloucester	New Way Lane, Gloucester, MA 01930, USA
41.9120406	-70.7168469	Plymouth County	Plymouth County, MA, USA
42.2851205	-71.13085439999999	Cohasset, Boston	Cohasset Street, Boston, MA 02131, USA
42.2625932	-71.8022934	[Worcester?]	Worcester, MA, USA
42.1398577	-71.5163049	Uxbridge, Leicester, Milford	Milford, MA, USA
43.187603	-72.488929	Rockingham, Vermont	Rockingham, VT
42.5834228	-71.8022955	Fitchburgh	Fitchburg, MA, USA
42.4096528	-71.8571331	Worcester County	Worcester County, MA, USA
42.1498038	-71.8691185	North Oxford	North Oxford, Oxford, MA 01540, USA
42.4072107	-71.3824374	Mercersburg, Pennsylvania	Massachusetts, USA
39.937591	-77.661102	Chambersburg, Pennsylvania	Chambersburg, PA
34.994	-81.474	Carolina	Province of Carolina
42.3600825	-71.0588801	[Boston?]	Boston, MA, USA
41.3804981	-70.645473	Martha's Vineyard	Martha's Vineyard, Massachusetts, USA
42.08209129999999	-70.7367886	Duxborough	Duxborough Trail, Duxbury, MA 02332, USA
43.7041092	-72.2906029	New Hampshire	Dartmouth College: Massachusetts Hall - North, 14 Mass Row, Hanover, NH 03755, USA
41.6259211	-71.2134231	Tiverton	Tiverton, RI, USA
42.238986	-71.369781	Sherburn	Sherborn, MA, USA
51.507351	-0.127758	London	London, England
44.765809	-65.465828	Annapolis Royal	Massachusetts Road, Granville Ferry, NS B0S 1K0, Canada
